folder                       dim  degree  refinements  shy  smoothing  threshold  gmg_iterations  gmg_solve_time  smoother_sweep_time  amg_iterations  amg_solve_time
2D_p1_ref9_shy1_smo1_th0.25  2    1       9            1    1          0.25       14              44.3467         1.49146              15              5.74138       
2D_p1_ref9_shy1_smo1_th0.5   2    1       9            1    1          0.5        14              44.1977         1.42356              16              6.16996       
2D_p1_ref9_shy1_smo1_th0.75  2    1       9            1    1          0.75       14              43.5171         1.27784              16              6.19137       
2D_p1_ref9_shy1_smo1_th1.    2    1       9            1    1          1.         12              37.7733         1.28                 17              6.80628       
2D_p1_ref9_shy1_smo2_th0.25  2    1       9            1    2          0.25       14              44.1703         1.41048              15              5.7782        
2D_p1_ref9_shy1_smo2_th0.5   2    1       9            1    2          0.5        14              44.3924         1.4874               16              6.23221       
2D_p1_ref9_shy1_smo2_th0.75  2    1       9            1    2          0.75       14              44.312          1.28491              16              6.23958       
2D_p1_ref9_shy1_smo2_th1.    2    1       9            1    2          1.         12              38.5112         1.44918              17              6.7807        
2D_p1_ref9_shy1_smo3_th0.25  2    1       9            1    3          0.25       14              44.9113         1.42061              15              5.73987       
2D_p1_ref9_shy1_smo3_th0.5   2    1       9            1    3          0.5        14              44.8238         1.42434              16              6.3126        
2D_p1_ref9_shy1_smo3_th0.75  2    1       9            1    3          0.75       14              44.3048         1.42996              16              6.21804       
2D_p1_ref9_shy1_smo3_th1.    2    1       9            1    3          1.         12              38.0583         1.28051              17              6.68174       
2D_p1_ref9_shy2_smo1_th0.25  2    1       9            2    1          0.25       14              43.3645         1.27701              15              5.76999       
2D_p1_ref9_shy2_smo1_th0.5   2    1       9            2    1          0.5        14              42.8598         1.26299              16              6.30226       
2D_p1_ref9_shy2_smo1_th0.75  2    1       9            2    1          0.75       14              44.0369         1.43587              16              6.16599       
2D_p1_ref9_shy2_smo1_th1.    2    1       9            2    1          1.         12              37.6964         1.27624              17              6.73032       
2D_p1_ref9_shy2_smo2_th0.25  2    1       9            2    2          0.25       14              43.7641         1.3001               15              5.72631       
2D_p1_ref9_shy2_smo2_th0.5   2    1       9            2    2          0.5        14              44.2577         1.58583              16              6.17821       
